Date,year,month,data-type,hemisphere,extent
11 1978,1978,11,Goddard,N,11.65
12 1978,1978,12,Goddard,N,13.67
1 1979,1979,1,Goddard,N,15.41
2 1979,1979,2,Goddard,N,16.18
3 1979,1979,3,Goddard,N,16.34
4 1979,1979,4,Goddard,N,15.45
5 1979,1979,5,Goddard,N,13.86
6 1979,1979,6,Goddard,N,12.53
7 1979,1979,7,Goddard,N,10.31
8 1979,1979,8,Goddard,N,8.04
9 1979,1979,9,Goddard,N,7.05
10 1979,1979,10,Goddard,N,8.75
11 1979,1979,11,Goddard,N,10.94
12 1979,1979,12,Goddard,N,13.34
1 1980,1980,1,Goddard,N,14.86
2 1980,1980,2,Goddard,N,15.96
3 1980,1980,3,Goddard,N,16.04
4 1980,1980,4,Goddard,N,15.43
5 1980,1980,5,Goddard,N,13.79
6 1980,1980,6,Goddard,N,12.2
7 1980,1980,7,Goddard,N,10.1
8 1980,1980,8,Goddard,N,7.98
9 1980,1980,9,Goddard,N,7.67
10 1980,1980,10,Goddard,N,9.18
11 1980,1980,11,Goddard,N,11.38
12 1980,1980,12,Goddard,N,13.59
1 1981,1981,1,Goddard,N,14.91
2 1981,1981,2,Goddard,N,15.6
3 1981,1981,3,Goddard,N,15.63
4 1981,1981,4,Goddard,N,15.01
5 1981,1981,5,Goddard,N,13.8
6 1981,1981,6,Goddard,N,12.43
7 1981,1981,7,Goddard,N,10.27
8 1981,1981,8,Goddard,N,7.84
9 1981,1981,9,Goddard,N,7.14
10 1981,1981,10,Goddard,N,8.86
11 1981,1981,11,Goddard,N,10.93
12 1981,1981,12,Goddard,N,13.34
1 1982,1982,1,Goddard,N,15.18
2 1982,1982,2,Goddard,N,15.97
3 1982,1982,3,Goddard,N,16.04
4 1982,1982,4,Goddard,N,15.47
5 1982,1982,5,Goddard,N,13.97
6 1982,1982,6,Goddard,N,12.48
7 1982,1982,7,Goddard,N,10.37
8 1982,1982,8,Goddard,N,8.14
9 1982,1982,9,Goddard,N,7.3
10 1982,1982,10,Goddard,N,9.42
11 1982,1982,11,Goddard,N,11.63
12 1982,1982,12,Goddard,N,13.64
1 1983,1983,1,Goddard,N,14.94
2 1983,1983,2,Goddard,N,16.01
3 1983,1983,3,Goddard,N,16.09
4 1983,1983,4,Goddard,N,15.17
5 1983,1983,5,Goddard,N,13.49
6 1983,1983,6,Goddard,N,12.3
7 1983,1983,7,Goddard,N,10.57
8 1983,1983,8,Goddard,N,8.19
9 1983,1983,9,Goddard,N,7.39
10 1983,1983,10,Goddard,N,9.33
11 1983,1983,11,Goddard,N,11.46
12 1983,1983,12,Goddard,N,13.3
1 1984,1984,1,Goddard,N,14.47
2 1984,1984,2,Goddard,N,15.3
3 1984,1984,3,Goddard,N,15.58
4 1984,1984,4,Goddard,N,15.01
5 1984,1984,5,Goddard,N,13.58
6 1984,1984,6,Goddard,N,12.15
7 1984,1984,7,Goddard,N,9.98
8 1984,1984,8,Goddard,N,7.77
9 1984,1984,9,Goddard,N,6.81
10 1984,1984,10,Goddard,N,8.56
11 1984,1984,11,Goddard,N,10.84
12 1984,1984,12,Goddard,N,12.99
1 1985,1985,1,Goddard,N,14.72
2 1985,1985,2,Goddard,N,15.47
3 1985,1985,3,Goddard,N,15.89
4 1985,1985,4,Goddard,N,15.36
5 1985,1985,5,Goddard,N,14.07
6 1985,1985,6,Goddard,N,12.22
7 1985,1985,7,Goddard,N,9.74
8 1985,1985,8,Goddard,N,7.4
9 1985,1985,9,Goddard,N,6.7
10 1985,1985,10,Goddard,N,8.55
11 1985,1985,11,Goddard,N,11.02
12 1985,1985,12,Goddard,N,13.05
1 1986,1986,1,Goddard,N,14.89
2 1986,1986,2,Goddard,N,15.78
3 1986,1986,3,Goddard,N,15.91
4 1986,1986,4,Goddard,N,15.06
5 1986,1986,5,Goddard,N,13.38
6 1986,1986,6,Goddard,N,11.98
7 1986,1986,7,Goddard,N,10.15
8 1986,1986,8,Goddard,N,7.98
9 1986,1986,9,Goddard,N,7.41
10 1986,1986,10,Goddard,N,9.48
11 1986,1986,11,Goddard,N,11.45
12 1986,1986,12,Goddard,N,13.22
1 1987,1987,1,Goddard,N,14.97
2 1987,1987,2,Goddard,N,16.05
3 1987,1987,3,Goddard,N,15.82
4 1987,1987,4,Goddard,N,15.21
5 1987,1987,5,Goddard,N,13.74
6 1987,1987,6,Goddard,N,12.49
7 1987,1987,7,Goddard,N,10.33
8 1987,1987,8,Goddard,N,7.63
9 1987,1987,9,Goddard,N,7.28
10 1987,1987,10,Goddard,N,9.05
11 1987,1987,11,Goddard,N,11.22
12 1987,1987,12,,,
1 1988,1988,1,,,
2 1988,1988,2,Goddard,N,15.58
3 1988,1988,3,Goddard,N,15.96
4 1988,1988,4,Goddard,N,15.12
5 1988,1988,5,Goddard,N,13.56
6 1988,1988,6,Goddard,N,11.94
7 1988,1988,7,Goddard,N,9.81
8 1988,1988,8,Goddard,N,7.89
9 1988,1988,9,Goddard,N,7.37
10 1988,1988,10,Goddard,N,9.13
11 1988,1988,11,Goddard,N,11.33
12 1988,1988,12,Goddard,N,13.63
1 1989,1989,1,Goddard,N,14.95
2 1989,1989,2,Goddard,N,15.5
3 1989,1989,3,Goddard,N,15.42
4 1989,1989,4,Goddard,N,14.33
5 1989,1989,5,Goddard,N,13.04
6 1989,1989,6,Goddard,N,12.24
7 1989,1989,7,Goddard,N,10.13
8 1989,1989,8,Goddard,N,7.88
9 1989,1989,9,Goddard,N,7.01
10 1989,1989,10,Goddard,N,8.83
11 1989,1989,11,Goddard,N,11.12
12 1989,1989,12,Goddard,N,13.39
1 1990,1990,1,Goddard,N,14.78
2 1990,1990,2,Goddard,N,15.58
3 1990,1990,3,Goddard,N,15.87
4 1990,1990,4,Goddard,N,14.65
5 1990,1990,5,Goddard,N,13.23
6 1990,1990,6,Goddard,N,11.64
7 1990,1990,7,Goddard,N,9.25
8 1990,1990,8,Goddard,N,6.8
9 1990,1990,9,Goddard,N,6.14
10 1990,1990,10,Goddard,N,8.48
11 1990,1990,11,Goddard,N,11.08
12 1990,1990,12,Goddard,N,13.11
1 1991,1991,1,Goddard,N,14.36
2 1991,1991,2,Goddard,N,15.25
3 1991,1991,3,Goddard,N,15.42
4 1991,1991,4,Goddard,N,14.86
5 1991,1991,5,Goddard,N,13.47
6 1991,1991,6,Goddard,N,12.11
7 1991,1991,7,Goddard,N,9.51
8 1991,1991,8,Goddard,N,7.42
9 1991,1991,9,Goddard,N,6.47
10 1991,1991,10,Goddard,N,8.54
11 1991,1991,11,Goddard,N,10.88
12 1991,1991,12,Goddard,N,12.95
1 1992,1992,1,Goddard,N,14.64
2 1992,1992,2,Goddard,N,15.46
3 1992,1992,3,Goddard,N,15.48
4 1992,1992,4,Goddard,N,14.68
5 1992,1992,5,Goddard,N,13.22
6 1992,1992,6,Goddard,N,12.15
7 1992,1992,7,Goddard,N,10.32
8 1992,1992,8,Goddard,N,7.93
9 1992,1992,9,Goddard,N,7.47
10 1992,1992,10,Goddard,N,9.32
11 1992,1992,11,Goddard,N,11.38
12 1992,1992,12,Goddard,N,13.41
1 1993,1993,1,Goddard,N,14.9
2 1993,1993,2,Goddard,N,15.69
3 1993,1993,3,Goddard,N,15.81
4 1993,1993,4,Goddard,N,15.08
5 1993,1993,5,Goddard,N,13.37
6 1993,1993,6,Goddard,N,11.87
7 1993,1993,7,Goddard,N,9.48
8 1993,1993,8,Goddard,N,7.33
9 1993,1993,9,Goddard,N,6.4
10 1993,1993,10,Goddard,N,8.79
11 1993,1993,11,Goddard,N,11.32
12 1993,1993,12,Goddard,N,13.32
1 1994,1994,1,Goddard,N,14.73
2 1994,1994,2,Goddard,N,15.56
3 1994,1994,3,Goddard,N,15.55
4 1994,1994,4,Goddard,N,14.89
5 1994,1994,5,Goddard,N,13.62
6 1994,1994,6,Goddard,N,12.02
7 1994,1994,7,Goddard,N,9.93
8 1994,1994,8,Goddard,N,7.64
9 1994,1994,9,Goddard,N,7.14
10 1994,1994,10,Goddard,N,8.92
11 1994,1994,11,Goddard,N,11.12
12 1994,1994,12,Goddard,N,13.27
1 1995,1995,1,Goddard,N,14.59
2 1995,1995,2,Goddard,N,15.23
3 1995,1995,3,Goddard,N,15.26
4 1995,1995,4,Goddard,N,14.45
5 1995,1995,5,Goddard,N,12.97
6 1995,1995,6,Goddard,N,11.44
7 1995,1995,7,Goddard,N,8.99
8 1995,1995,8,Goddard,N,6.74
9 1995,1995,9,Goddard,N,6.08
10 1995,1995,10,Goddard,N,7.83
11 1995,1995,11,Goddard,N,10.76
12 1995,1995,12,Goddard,N,12.92
1 1996,1996,1,Goddard,N,14.18
2 1996,1996,2,Goddard,N,15.15
3 1996,1996,3,Goddard,N,15.12
4 1996,1996,4,Goddard,N,14.22
5 1996,1996,5,Goddard,N,13.09
6 1996,1996,6,Goddard,N,12.08
7 1996,1996,7,Goddard,N,10.16
8 1996,1996,8,Goddard,N,8.18
9 1996,1996,9,Goddard,N,7.58
10 1996,1996,10,Goddard,N,9.16
11 1996,1996,11,Goddard,N,10.4
12 1996,1996,12,Goddard,N,12.86
1 1997,1997,1,Goddard,N,14.42
2 1997,1997,2,Goddard,N,15.44
3 1997,1997,3,Goddard,N,15.47
4 1997,1997,4,Goddard,N,14.56
5 1997,1997,5,Goddard,N,13.18
6 1997,1997,6,Goddard,N,11.74
7 1997,1997,7,Goddard,N,9.41
8 1997,1997,8,Goddard,N,7.29
9 1997,1997,9,Goddard,N,6.69
10 1997,1997,10,Goddard,N,8.34
11 1997,1997,11,Goddard,N,10.68
12 1997,1997,12,Goddard,N,13.08
1 1998,1998,1,Goddard,N,14.72
2 1998,1998,2,Goddard,N,15.75
3 1998,1998,3,Goddard,N,15.6
4 1998,1998,4,Goddard,N,14.89
5 1998,1998,5,Goddard,N,13.59
6 1998,1998,6,Goddard,N,11.71
7 1998,1998,7,Goddard,N,9.42
8 1998,1998,8,Goddard,N,7.51
9 1998,1998,9,Goddard,N,6.54
10 1998,1998,10,Goddard,N,8.45
11 1998,1998,11,Goddard,N,10.44
12 1998,1998,12,Goddard,N,12.76
1 1999,1999,1,Goddard,N,14.36
2 1999,1999,2,Goddard,N,15.31
3 1999,1999,3,Goddard,N,15.4
4 1999,1999,4,Goddard,N,15.08
5 1999,1999,5,Goddard,N,13.75
6 1999,1999,6,Goddard,N,11.78
7 1999,1999,7,Goddard,N,9.49
8 1999,1999,8,Goddard,N,7.23
9 1999,1999,9,Goddard,N,6.12
10 1999,1999,10,Goddard,N,8.6
11 1999,1999,11,Goddard,N,10.8
12 1999,1999,12,Goddard,N,12.64
1 2000,2000,1,Goddard,N,14.22
2 2000,2000,2,Goddard,N,15.14
3 2000,2000,3,Goddard,N,15.22
4 2000,2000,4,Goddard,N,14.56
5 2000,2000,5,Goddard,N,13.15
6 2000,2000,6,Goddard,N,11.67
7 2000,2000,7,Goddard,N,9.51
8 2000,2000,8,Goddard,N,7.17
9 2000,2000,9,Goddard,N,6.25
10 2000,2000,10,Goddard,N,8.38
11 2000,2000,11,Goddard,N,10.32
12 2000,2000,12,Goddard,N,12.64
1 2001,2001,1,Goddard,N,14.2
2 2001,2001,2,Goddard,N,15.21
3 2001,2001,3,Goddard,N,15.52
4 2001,2001,4,Goddard,N,14.86
5 2001,2001,5,Goddard,N,13.51
6 2001,2001,6,Goddard,N,11.46
7 2001,2001,7,Goddard,N,9.07
8 2001,2001,8,Goddard,N,7.46
9 2001,2001,9,Goddard,N,6.73
10 2001,2001,10,Goddard,N,8.3
11 2001,2001,11,Goddard,N,10.66
12 2001,2001,12,Goddard,N,12.49
1 2002,2002,1,Goddard,N,14.27
2 2002,2002,2,Goddard,N,15.34
3 2002,2002,3,Goddard,N,15.35
4 2002,2002,4,Goddard,N,14.3
5 2002,2002,5,Goddard,N,12.97
6 2002,2002,6,Goddard,N,11.58
7 2002,2002,7,Goddard,N,9.27
8 2002,2002,8,Goddard,N,6.6
9 2002,2002,9,Goddard,N,5.83
10 2002,2002,10,Goddard,N,8.16
11 2002,2002,11,Goddard,N,10.34
12 2002,2002,12,Goddard,N,12.61
1 2003,2003,1,Goddard,N,14.39
2 2003,2003,2,Goddard,N,15.19
3 2003,2003,3,Goddard,N,15.48
4 2003,2003,4,Goddard,N,14.51
5 2003,2003,5,Goddard,N,13.02
6 2003,2003,6,Goddard,N,11.6
7 2003,2003,7,Goddard,N,9.21
8 2003,2003,8,Goddard,N,6.94
9 2003,2003,9,Goddard,N,6.12
10 2003,2003,10,Goddard,N,7.85
11 2003,2003,11,Goddard,N,10.13
12 2003,2003,12,Goddard,N,12.59
1 2004,2004,1,Goddard,N,14.03
2 2004,2004,2,Goddard,N,14.91
3 2004,2004,3,Goddard,N,14.99
4 2004,2004,4,Goddard,N,13.99
5 2004,2004,5,Goddard,N,12.56
6 2004,2004,6,Goddard,N,11.45
7 2004,2004,7,Goddard,N,9.43
8 2004,2004,8,Goddard,N,6.85
9 2004,2004,9,Goddard,N,5.98
10 2004,2004,10,Goddard,N,7.93
11 2004,2004,11,Goddard,N,10.34
12 2004,2004,12,Goddard,N,12.55
1 2005,2005,1,Goddard,N,13.66
2 2005,2005,2,Goddard,N,14.37
3 2005,2005,3,Goddard,N,14.69
4 2005,2005,4,Goddard,N,14.09
5 2005,2005,5,Goddard,N,12.91
6 2005,2005,6,Goddard,N,11.16
7 2005,2005,7,Goddard,N,8.65
8 2005,2005,8,Goddard,N,6.3
9 2005,2005,9,Goddard,N,5.5
10 2005,2005,10,Goddard,N,7.35
11 2005,2005,11,Goddard,N,10.22
12 2005,2005,12,Goddard,N,12.23
1 2006,2006,1,Goddard,N,13.47
2 2006,2006,2,Goddard,N,14.32
3 2006,2006,3,Goddard,N,14.42
4 2006,2006,4,Goddard,N,13.91
5 2006,2006,5,Goddard,N,12.52
6 2006,2006,6,Goddard,N,10.92
7 2006,2006,7,Goddard,N,8.46
8 2006,2006,8,Goddard,N,6.5
9 2006,2006,9,Goddard,N,5.86
10 2006,2006,10,Goddard,N,7.54
11 2006,2006,11,Goddard,N,9.66
12 2006,2006,12,Goddard,N,11.95
1 2007,2007,1,Goddard,N,13.7
2 2007,2007,2,Goddard,N,14.51
3 2007,2007,3,Goddard,N,14.54
4 2007,2007,4,Goddard,N,13.85
5 2007,2007,5,Goddard,N,12.78
6 2007,2007,6,Goddard,N,11.22
7 2007,2007,7,Goddard,N,7.94
8 2007,2007,8,Goddard,N,5.34
9 2007,2007,9,Goddard,N,4.27
10 2007,2007,10,Goddard,N,6.04
11 2007,2007,11,Goddard,N,9.76
12 2007,2007,12,Goddard,N,12.03
1 2008,2008,1,Goddard,N,13.89
2 2008,2008,2,Goddard,N,14.95
3 2008,2008,3,Goddard,N,15.18
4 2008,2008,4,Goddard,N,14.35
5 2008,2008,5,Goddard,N,12.97
6 2008,2008,6,Goddard,N,11.21
7 2008,2008,7,Goddard,N,8.68
8 2008,2008,8,Goddard,N,5.91
9 2008,2008,9,Goddard,N,4.69
10 2008,2008,10,Goddard,N,7.35
11 2008,2008,11,Goddard,N,10.34
12 2008,2008,12,Goddard,N,12.36
1 2009,2009,1,Goddard,N,13.91
2 2009,2009,2,Goddard,N,14.81
3 2009,2009,3,Goddard,N,14.98
4 2009,2009,4,Goddard,N,14.5
5 2009,2009,5,Goddard,N,13.19
6 2009,2009,6,Goddard,N,11.32
7 2009,2009,7,Goddard,N,8.47
8 2009,2009,8,Goddard,N,6.14
9 2009,2009,9,Goddard,N,5.26
10 2009,2009,10,Goddard,N,6.92
11 2009,2009,11,Goddard,N,9.77
12 2009,2009,12,Goddard,N,12.2
1 2010,2010,1,Goddard,N,13.74
2 2010,2010,2,Goddard,N,14.58
3 2010,2010,3,Goddard,N,15.14
4 2010,2010,4,Goddard,N,14.66
5 2010,2010,5,Goddard,N,12.87
6 2010,2010,6,Goddard,N,10.59
7 2010,2010,7,Goddard,N,8.07
8 2010,2010,8,Goddard,N,5.87
9 2010,2010,9,Goddard,N,4.87
10 2010,2010,10,Goddard,N,6.98
11 2010,2010,11,Goddard,N,9.61
12 2010,2010,12,Goddard,N,11.83
1 2011,2011,1,Goddard,N,13.46
2 2011,2011,2,Goddard,N,14.36
3 2011,2011,3,Goddard,N,14.55
4 2011,2011,4,Goddard,N,14.11
5 2011,2011,5,Goddard,N,12.68
6 2011,2011,6,Goddard,N,10.75
7 2011,2011,7,Goddard,N,7.72
8 2011,2011,8,Goddard,N,5.5
9 2011,2011,9,Goddard,N,4.56
10 2011,2011,10,Goddard,N,6.46
11 2011,2011,11,Goddard,N,9.77
12 2011,2011,12,Goddard,N,12.15
1 2012,2012,1,Goddard,N,13.73
2 2012,2012,2,Goddard,N,14.55
3 2012,2012,3,Goddard,N,15.2
4 2012,2012,4,Goddard,N,14.63
5 2012,2012,5,Goddard,N,13.01
6 2012,2012,6,Goddard,N,10.67
7 2012,2012,7,Goddard,N,7.67
8 2012,2012,8,Goddard,N,4.72
9 2012,2012,9,Goddard,N,3.57
10 2012,2012,10,Goddard,N,5.89
11 2012,2012,11,Goddard,N,9.39
12 2012,2012,12,Goddard,N,12.01
1 2013,2013,1,Goddard,N,13.7
2 2013,2013,2,Goddard,N,14.72
3 2013,2013,3,Goddard,N,15.03
4 2013,2013,4,Goddard,N,14.3
5 2013,2013,5,Goddard,N,13
6 2013,2013,6,Goddard,N,11.36
7 2013,2013,7,Goddard,N,8.13
8 2013,2013,8,Goddard,N,6.01
9 2013,2013,9,Goddard,N,5.21
10 2013,2013,10,Goddard,N,7.45
11 2013,2013,11,Goddard,N,9.94
12 2013,2013,12,Goddard,N,12.18
1 2014,2014,1,Goddard,N,13.65
2 2014,2014,2,Goddard,N,14.42
3 2014,2014,3,Goddard,N,14.76
4 2014,2014,4,Goddard,N,14.09
5 2014,2014,5,Goddard,N,12.7
6 2014,2014,6,Goddard,N,11.03
7 2014,2014,7,Goddard,N,8.11
8 2014,2014,8,Goddard,N,6.08
9 2014,2014,9,Goddard,N,5.22
10 2014,2014,10,Goddard,N,7.23
