,game_id,game_seconds,event_type,mtl_score,opp_score,score_diff,total_goals
4424,2022020007,0,GAME_SCHEDULED,0,0,0,0
4594,2022020007,701,GOAL,0,1,-1,1
4711,2022020007,1233,GOAL,1,1,0,2
4818,2022020007,1746,GOAL,1,2,-1,3
4896,2022020007,2156,GOAL,2,2,0,4
5199,2022020007,3450,GOAL,3,2,1,5
5206,2022020007,3490,GOAL,3,3,0,6
5232,2022020007,3581,GOAL,4,3,1,7
16410,2022020022,0,GAME_SCHEDULED,0,0,0,0
16955,2022020022,2553,GOAL,0,1,-1,1
17173,2022020022,3539,GOAL,0,2,-2,2
17179,2022020022,3552,GOAL,0,3,-3,3
21649,2022020029,0,GAME_SCHEDULED,0,0,0,0
21939,2022020029,1321,GOAL,1,0,1,1
22028,2022020029,1742,GOAL,1,1,0,2
22066,2022020029,1903,GOAL,1,2,-1,3
22113,2022020029,2120,GOAL,1,3,-2,4
31721,2022020042,0,GAME_SCHEDULED,0,0,0,0
32037,2022020042,1432,GOAL,0,1,-1,1
32097,2022020042,1676,GOAL,0,2,-2,2
32255,2022020042,2470,GOAL,1,2,-1,3
32477,2022020042,3460,GOAL,2,2,0,4
32548,2022020042,3789,GOAL,3,2,1,5
45865,2022020060,0,GAME_SCHEDULED,0,0,0,0
45894,2022020060,118,GOAL,1,0,1,1
45920,2022020060,253,GOAL,2,0,2,2
45956,2022020060,437,GOAL,3,0,3,3
46241,2022020060,1697,GOAL,4,0,4,4
46359,2022020060,2307,GOAL,5,0,5,5
46458,2022020060,2781,GOAL,5,1,4,6
46481,2022020060,2898,GOAL,5,2,3,7
46581,2022020060,3396,GOAL,6,2,4,8
60874,2022020078,0,GAME_SCHEDULED,0,0,0,0
60933,2022020078,264,GOAL,0,1,-1,1
61087,2022020078,935,GOAL,1,1,0,2
61164,2022020078,1218,GOAL,1,2,-1,3
61217,2022020078,1471,GOAL,1,3,-2,4
61375,2022020078,2158,GOAL,2,3,-1,5
61428,2022020078,2383,GOAL,2,4,-2,6
61522,2022020078,2813,GOAL,2,5,-3,7
77510,2022020101,0,GAME_SCHEDULED,0,0,0,0
77587,2022020101,352,GOAL,0,1,-1,1
77786,2022020101,1267,GOAL,1,1,0,2
77904,2022020101,1968,GOAL,1,2,-1,3
78242,2022020101,3569,GOAL,1,3,-2,4
88286,2022020114,0,GAME_SCHEDULED,0,0,0,0
88437,2022020114,811,GOAL,1,0,1,1
88518,2022020114,1231,GOAL,1,1,0,2
88823,2022020114,2811,GOAL,2,1,1,3
88903,2022020114,3174,GOAL,2,2,0,4
88947,2022020114,3374,GOAL,3,2,1,5
101287,2022020133,0,GAME_SCHEDULED,0,0,0,0
101395,2022020133,467,GOAL,0,1,-1,1
101497,2022020133,908,GOAL,1,1,0,2
101626,2022020133,1510,GOAL,1,2,-1,3
101687,2022020133,1778,GOAL,1,3,-2,4
101702,2022020133,1856,GOAL,2,3,-1,5
101725,2022020133,1985,GOAL,3,3,0,6
101749,2022020133,2146,GOAL,4,3,1,7
101814,2022020133,2441,GOAL,5,3,2,8
101822,2022020133,2481,GOAL,6,3,3,9
101848,2022020133,2567,GOAL,6,4,2,10
102050,2022020133,3505,GOAL,7,4,3,11
116340,2022020151,0,GAME_SCHEDULED,0,0,0,0
116630,2022020151,1269,GOAL,0,1,-1,1
116651,2022020151,1409,GOAL,0,2,-2,2
116766,2022020151,2095,GOAL,0,3,-3,3
116993,2022020151,3210,GOAL,1,3,-2,4
117026,2022020151,3412,GOAL,1,4,-3,5
128404,2022020165,0,GAME_SCHEDULED,0,0,0,0
128489,2022020165,403,GOAL,1,0,1,1
128631,2022020165,1048,GOAL,1,1,0,2
128720,2022020165,1494,GOAL,2,1,1,3
128728,2022020165,1535,GOAL,2,2,0,4
129177,2022020165,3705,GOAL,2,3,-1,5
143970,2022020184,0,GAME_SCHEDULED,0,0,0,0
144152,2022020184,805,GOAL,0,1,-1,1
144160,2022020184,856,GOAL,1,1,0,2
144275,2022020184,1344,GOAL,1,2,-1,3
144497,2022020184,2456,GOAL,2,2,0,4
144542,2022020184,2685,GOAL,2,3,-1,5
144595,2022020184,2894,GOAL,2,4,-2,6
144599,2022020184,2915,GOAL,2,5,-3,7
144627,2022020184,3021,GOAL,3,5,-2,8
144656,2022020184,3196,GOAL,3,6,-3,9
144677,2022020184,3321,GOAL,4,6,-2,10
157864,2022020203,0,GAME_SCHEDULED,0,0,0,0
157940,2022020203,341,GOAL,1,0,1,1
158070,2022020203,989,GOAL,1,1,0,2
158111,2022020203,1184,GOAL,2,1,1,3
158492,2022020203,3037,GOAL,2,2,0,4
158659,2022020203,4800,GOAL,2,2,0,4
158661,2022020203,4800,GOAL,2,2,0,4
158662,2022020203,4800,GOAL,2,2,0,4
158665,2022020203,4800,SHOOTOUT_COMPLETE,3,2,1,5
163245,2022020209,0,GAME_SCHEDULED,0,0,0,0
163262,2022020209,55,GOAL,1,0,1,1
163375,2022020209,527,GOAL,2,0,2,2
163424,2022020209,743,GOAL,3,0,3,3
163665,2022020209,1981,GOAL,4,0,4,4
