season,player,total_minutes_played,n_rage_fouls
2020,Jordan Ayew,2237,5
2021,Joao Cancelo,1729,4
2021,Emmanuel Dennis,1250,4
2018,Alexandre Lacazette,2678,4
2018,Idrissa Gueye,3058,4
2018,Ayoze Perez,3124,4
2019,Joshua King,2166,4
2019,Granit Xhaka,2801,4
2019,N'Golo Kante,1896,4
2019,Abdoulaye Doucoure,3408,4
2020,Alexandre Lacazette,2066,4
2020,Lucas Digne,2917,4
2020,Benjamin Mendy,1009,4
2020,Joao Cancelo,2536,4
2020,Isaac Hayden,2102,4
2020,Tomas Soucek,3673,4
2020,Aaron Wan-Bissaka,3301,4
2021,Andrew Robertson,1336,3
2021,Che Adams,938,3
2021,Jack Harrison,1187,3
2021,Matthew Cash,1748,3
2021,Wilfred Ndidi,1169,3
2017,Simon Francis,2965,3
2017,Christian Fuchs,2084,3
2017,Pablo Zabaleta,3568,3
2017,Dale Stephens,3464,3
2017,Marko Arnautovic,2543,3
2017,Kevin De Bruyne,3290,3
2017,N'Golo Kante,3205,3
2017,Hector Bellerin,3272,3
2017,Oleksandr Zinchenko,563,3
2017,Gabriel Jesus,1784,3
2017,Wilfred Ndidi,3153,3
2018,Cesar Azpilicueta,3665,3
2018,Marko Arnautovic,2108,3
2018,Jeffrey Schlupp,1810,3
2018,Pierre-Emile Hojbjerg,2992,3
2018,Jorginho,3373,3
2018,Joe Ralls,2163,3
2018,Raul Jimenez,3312,3
2018,Will Hughes,2543,3
2018,Philip Billing,2361,3
2019,Enda Stevens,3607,3
2019,Pierre-Emile Hojbjerg,3006,3
2019,Raul Jimenez,3475,3
2019,Andre Gomes,1585,3
2019,Callum Wilson,3168,3
2019,Lewis Cook,1497,3
2019,Romain Saiss,2968,3
2019,Richarlison,3318,3
2020,Joao Moutinho,2731,3
2020,Liam Cooper,2402,3
2020,Jeffrey Schlupp,1524,3
2020,Stuart Armstrong,2948,3
2020,Stuart Dallas,3657,3
2020,Youri Tielemans,3593,3
2020,Gabriel Jesus,2210,3
2020,Raphinha,2539,3
2020,Scott McTominay,2307,3
2020,Conor Gallagher,2712,3
2021,James Milner,539,2
2021,James McArthur,1019,2
2021,Angelo Ogbonna,998,2
2021,Michail Antonio,1609,2
2021,Andros Townsend,1356,2
2021,Fabian Schar,762,2
2021,Harry Kane,1350,2
2021,Marcos Alonso,1181,2
2021,Paul Pogba,716,2
2021,Leandro Trossard,1591,2
2021,Jan Bednarek,1163,2
2021,Mohamed Elyounoussi,998,2
2021,Tomas Soucek,1745,2
2021,Joachim Andersen,1220,2
2021,Nelson Semedo,1509,2
2021,Pablo Fornals,1451,2
2021,Mason Holgate,572,2
2021,Raphinha,1450,2
2021,Jakub Moder,1068,2
2017,Mousa Dembele,1993,2
2017,Antonio Valencia,2931,2
2017,Steven Defour,2118,2
2017,Jose Holebas,2594,2
2017,Ryan Bertrand,3367,2
2017,Erik Pieters,2925,2
2017,Cesar Azpilicueta,3572,2
2017,Dusan Tadic,2946,2
2017,Morgan Schneiderlin,2286,2
2017,Moussa Sissoko,1535,2
2017,Matt Phillips,2249,2
2017,Federico Fernandez,2872,2
