iter	RMSE
0	0.4304873338
1	0.3958194909
2	0.3668652445
3	0.3426760171
4	0.3221020937
5	0.3053652114
6	0.2912131706
7	0.2794855115
8	0.2702521793
9	0.26248718
10	0.2558257301
11	0.2506051597
12	0.2464868475
13	0.242821053
14	0.240012882
15	0.2376652245
16	0.2357379483
17	0.2342291427
18	0.2328376812
19	0.2318216725
20	0.2309162572
21	0.2301722034
22	0.2294969367
23	0.2288681748
24	0.2284698388
25	0.2280132815
26	0.2276830327
27	0.2274076063
28	0.2270797041
29	0.2268855463
30	0.2265920758
31	0.2264110833
32	0.2262120527
33	0.2260994787
34	0.2259941139
35	0.2258960451
36	0.2257958648
37	0.2256980354
38	0.225563652
39	0.2254703088
40	0.2254024392
41	0.2252520107
42	0.2251815968
43	0.2251228195
44	0.2250263635
45	0.2249164509
46	0.2248616783
47	0.2248256131
48	0.2247774888
49	0.2246841288
50	0.2246141512
51	0.2245580517
52	0.2245048568
53	0.2244601724
54	0.2244361228
55	0.2244071135
56	0.2243778018
57	0.2243485528
58	0.2242919487
59	0.2242559597
60	0.2242172702
61	0.2241963995
62	0.2241611563
63	0.2240953232
64	0.2240491219
65	0.2239904202
66	0.2239479813
67	0.2239251779
68	0.2238845963
69	0.2238698971
70	0.2238065695
71	0.2237929238
72	0.2237136244
73	0.2236496682
74	0.2235927986
75	0.2235474545
76	0.2235115646
77	0.2235023371
78	0.2234689956
79	0.2234545544
80	0.2234305798
81	0.223378401
82	0.2233603491
83	0.2233373919
84	0.2233254513
85	0.2232694388
86	0.2232274709
87	0.223211892
88	0.2231757136
89	0.2231525864
90	0.2231348549
91	0.2231095874
92	0.2230939228
93	0.2230495702
94	0.2230135586
95	0.2229943665
96	0.2229708678
97	0.2229545033
98	0.2229400423
99	0.2229282781
100	0.2229096261
101	0.2228942361
102	0.222844633
103	0.2228277883
104	0.2227963625
105	0.2227796234
106	0.2227605091
107	0.2227241821
108	0.2226821566
109	0.2226675638
110	0.2226537008
111	0.2226011894
112	0.2225500357
113	0.2225325777
114	0.222500647
115	0.2224756624
116	0.222454228
117	0.2224314631
118	0.2223825828
119	0.2223651123
120	0.2223521235
121	0.222326018
122	0.2223000013
123	0.2222862646
124	0.2222530523
125	0.2222283704
126	0.2222141145
127	0.2221876293
128	0.2221576533
129	0.2221187009
130	0.2221003462
131	0.2220785105
132	0.2220563843
133	0.2220445775
134	0.2220279024
135	0.2220070872
136	0.2219930221
137	0.2219836591
138	0.2219597159
139	0.2219449452
140	0.2219142337
141	0.221892425
142	0.2218614262
143	0.221834639
144	0.221811816
145	0.2217845684
146	0.2217706498
147	0.2217587021
148	0.2217205352
149	0.2217090694
150	0.221686308
151	0.221672182
152	0.2216655692
153	0.2216384707
154	0.2216232937
155	0.2216034469
156	0.2215819525
157	0.2215713333
158	0.221550893
159	0.2215386562
160	0.2215100133
161	0.2214910199
162	0.2214582048
163	0.2214382665
164	0.22142557
165	0.2214031336
166	0.2213924901
167	0.2213814315
168	0.2213642139
169	0.2213542442
170	0.2213462839
171	0.2213066571
172	0.2212811227
173	0.2212662291
174	0.2212495437
175	0.2212419742
176	0.2212238939
177	0.2211970896
178	0.2211815582
179	0.2211587742
180	0.2211397422
181	0.2211253071
182	0.221111647
183	0.2210999639
184	0.2210789277
185	0.2210555676
186	0.2210231959
187	0.221013687
188	0.2210060117
189	0.2209970386
190	0.2209871074
191	0.2209725737
192	0.2209526459
193	0.2209399257
194	0.2209281371
195	0.2209161408
196	0.2208950708
197	0.2208818702
198	0.2208733317
199	0.220860217
200	0.2208417909
201	0.2208158112
202	0.2208084934
203	0.2207955242
204	0.2207874085
205	0.2207713774
206	0.2207547397
207	0.2207436022
208	0.2207297905
209	0.2207001644
210	0.2206912109
211	0.2206749796
212	0.2206671184
213	0.2206480448
214	0.220637277
215	0.2206192656
216	0.2206105892
217	0.2206030274
218	0.2205979322
219	0.2205777752
220	0.2205703498
221	0.2205550907
222	0.22053539
223	0.2205251241
