iter	Passed	Remaining
0	15	3479
1	30	3435
2	45	3345
3	61	3387
4	77	3375
5	94	3422
6	110	3415
7	126	3425
8	145	3475
9	162	3478
10	178	3458
11	196	3467
12	215	3500
13	232	3492
14	249	3478
15	267	3480
16	287	3500
17	304	3490
18	321	3467
19	338	3452
20	354	3430
21	370	3397
22	384	3357
23	400	3337
24	414	3301
25	431	3285
26	445	3249
27	461	3228
28	478	3215
29	494	3195
30	509	3169
31	525	3151
32	541	3133
33	557	3115
34	572	3089
35	587	3069
36	602	3045
37	620	3036
38	636	3019
39	652	3003
40	668	2983
41	684	2966
42	701	2953
43	715	2927
44	729	2903
45	745	2883
46	761	2866
47	776	2848
48	791	2826
49	807	2811
50	824	2797
51	841	2783
52	859	2772
53	878	2764
54	897	2756
55	913	2739
56	930	2725
57	950	2721
58	968	2709
59	986	2695
60	1002	2678
61	1018	2662
62	1036	2650
63	1060	2650
64	1081	2645
65	1101	2636
66	1126	2640
67	1147	2633
68	1172	2634
69	1194	2627
70	1214	2616
71	1233	2604
72	1251	2589
73	1269	2573
74	1286	2556
75	1304	2540
76	1324	2528
77	1339	2507
78	1353	2484
79	1369	2465
80	1384	2443
81	1399	2423
82	1415	2404
83	1430	2383
84	1445	2363
85	1460	2343
86	1475	2323
87	1491	2304
88	1504	2282
89	1520	2263
90	1533	2241
91	1548	2222
92	1564	2203
93	1581	2186
94	1597	2169
95	1613	2150
96	1627	2130
97	1641	2110
98	1657	2092
99	1674	2076
100	1688	2056
101	1701	2035
102	1715	2015
103	1730	1996
104	1748	1981
105	1764	1964
106	1779	1945
107	1795	1928
108	1812	1911
109	1826	1892
110	1841	1875
111	1857	1857
112	1872	1839
113	1888	1822
114	1904	1805
115	1921	1789
116	1937	1771
117	1952	1753
118	1969	1737
119	1982	1718
120	1997	1700
121	2011	1681
122	2026	1663
123	2041	1646
124	2057	1629
125	2073	1612
126	2090	1596
127	2106	1579
128	2123	1563
129	2140	1548
130	2157	1531
131	2176	1516
132	2194	1501
133	2212	1485
134	2229	1469
135	2245	1453
136	2264	1438
137	2281	1421
138	2297	1405
139	2316	1390
140	2332	1372
141	2349	1356
142	2364	1339
143	2380	1322
144	2397	1306
145	2412	1289
146	2429	1272
147	2443	1254
148	2464	1240
149	2480	1223
150	2494	1205
151	2509	1188
152	2524	1171
153	2541	1155
154	2555	1137
155	2571	1120
156	2588	1104
157	2603	1087
158	2617	1070
159	2633	1053
160	2648	1036
161	2664	1019
162	2683	1004
163	2699	987
164	2716	971
165	2734	955
166	2753	939
167	2769	923
168	2790	908
169	2806	891
170	2823	875
171	2840	858
172	2861	843
173	2879	827
174	2896	811
175	2914	794
176	2929	777
177	2946	761
178	2961	744
179	2976	727
180	2995	711
181	3010	694
182	3025	677
183	3041	661
184	3057	644
185	3075	628
186	3092	611
187	3109	595
188	3125	578
189	3142	562
190	3156	545
191	3174	529
192	3191	512
193	3208	496
194	3226	479
195	3244	463
196	3261	447
197	3278	430
198	3296	414
199	3313	397
200	3331	381
201	3347	364
202	3360	347
203	3375	330
204	3390	314
205	3412	298
206	3430	281
207	3446	265
208	3460	248
209	3475	231
210	3488	214
211	3507	198
212	3521	181
213	3535	165
214	3548	148
215	3566	132
216	3580	115
217	3596	98
218	3612	82
219	3630	66
220	3647	49
221	3665	33
222	3681	16
223	3697	0
